name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Weekend Friend,Goth Babe,2d3QlXE6FXFDeodiS66yjM,0.409,0.594,-9.725,0.031,0.032,0.0391,0.0904,110.187,0.212,-0.9894,Happy
Origami,The Rare Occasions,3qpyxgH65qNhJ9hLS2gWrS,0.483,0.802,-6.463,0.0552,0.00703,0.0137,0.245,129.933,0.627,-0.9334,Happy
Fever,The Black Keys,3Hx7RXqCS7Kzjy2ot2q1Gk,0.609,0.674,-6.506,0.0355,0.00378,0.000302,0.129,127.541,0.743,-0.9696,Happy
Heat Up,Giant Rooks,2xxpA9Bd8TaKIv0RGKFr9I,0.568,0.945,-3.243,0.0639,0.0512,6.29e-05,0.231,74.992,0.902,0.9932,Happy
Mariposa,Peach Tree Rascals,3WD2cic9S2VrGIb6h114MM,0.69,0.528,-6.1,0.027,0.647,0.0,0.428,112.001,0.427,0.9777,Happy
Lake Washington Boulevard,Pinguini Tattici Nucleari,6Jn9qoprkuSfsRW7tTRkOV,0.708,0.745,-3.249,0.0367,0.234,0.0,0.0654,110.003,0.808,0.0772,Happy
Useless,Omar Apollo,7dJN4NWQuqCjWwIT3UwOps,0.612,0.565,-7.609,0.0414,0.585,0.00174,0.0827,89.895,0.545,-0.2478,Happy
Miracle Mile,Cold War Kids,4RvmQ5qbP5PxgJD0BN4EZK,0.355,0.867,-3.144,0.0738,0.00664,0.554,0.323,142.849,0.295,0.9956,Happy
I Can Talk,Two Door Cinema Club,2OqI9fjaLeXnphj1Vcs1bi,0.474,0.753,-5.058,0.217,2.71e-05,0.0987,0.211,162.923,0.67,-0.9104,Happy
Temper Temper,Lime Cordiale,3DCU0R5FFaB9GKxZERb5wr,0.713,0.565,-7.8,0.0351,0.0252,3.2e-06,0.633,130.047,0.705,0.9912,Happy
My Number,Foals,04caEZhAsQKnWqKsMwk9ud,0.639,0.715,-8.954,0.0392,0.0243,0.000552,0.619,128.072,0.813,0.9746,Happy
Left Hand Free,alt-J,4iEOVEULZRvmzYSZY2ViKN,0.697,0.877,-4.465,0.0462,0.462,0.00943,0.083,101.99,0.802,0.995,Happy
Get By,Still Woozy,0HXiFFhg287d15ssjFaRZp,0.78,0.563,-6.985,0.061,0.317,2.44e-06,0.48,135.059,0.903,-0.9138,Happy
Sports,Beach Bunny,77G0k1La0c5Dw8bAFANcyp,0.231,0.877,-5.278,0.0574,0.000653,0.026,0.0694,186.142,0.524,-0.9225,Happy
New Estate,Giant Rooks,7muYz7kx7Z37Bnfg7eYbtv,0.526,0.742,-6.115,0.0306,0.0316,0.0,0.201,155.969,0.562,-0.8957,Happy
Feels Like We Only Go Backwards,Tame Impala,0LtOwyZoSNZKJWHqjzADpW,0.303,0.9,-2.352,0.0574,0.0277,0.635,0.11,149.508,0.491,0.9953,Happy
Peach Trees,Ax and the Hatchetmen,2hiEGsafGTYbc5UYuU3WN6,0.501,0.899,-9.117,0.0932,0.236,9.01e-05,0.351,167.267,0.596,0.8359,Happy
Where'd All the Time Go?,Dr. Dog,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,-4.193,0.0567,0.132,0.000969,0.115,166.303,0.575,-0.7281,Happy
Best Day Of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,100.012,0.538,0.9929,Happy
Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,154.961,0.725,0.948,Happy
Lush Life,Zara Larsson,1rIKgCH4H52lrvDcz50hS8,0.694,0.712,-3.923,0.046,0.132,0.0,0.211,98.023,0.799,0.833,Happy
AOK,Tai Verdes,1sx0XsWUusUoPstbvokZjP,0.731,0.626,-6.919,0.0805,0.125,0.0,0.183,82.488,0.862,-0.6322,Happy
Sunday Best,Surfaces,1qYKWcEOrh2tM8PlgIm8K1,0.869,0.555,-5.984,0.0454,0.137,0.0,0.0746,112.003,0.738,0.9989,Happy
Ain't No Mountain High Enough,Marvin Gaye,7tqhbajSfrz2F7E1Z75ASX,0.663,0.6,-10.87,0.032,0.43,0.0,0.184,129.991,0.8,0.9935,Happy
Put Your Records On,Corinne Bailey Rae,2nGFzvICaeEWjIrBrL2RAx,0.739,0.511,-7.844,0.0362,0.167,1.34e-06,0.133,96.038,0.542,0.9963,Happy
Paper Rings,Taylor Swift,4y5bvROuBDPr5fuwXbIBZR,0.811,0.719,-6.553,0.0497,0.0129,1.36e-05,0.0742,103.979,0.865,0.9966,Happy
It's a Beautiful Day,Michael Bublé,0mvkwaZMP2gAy2ApQLtZRv,0.532,0.795,-3.979,0.0358,0.0559,0.0,0.295,143.837,0.78,0.9958,Happy
Geronimo,Sheppard,0qt5f5EL92o8Snzopsv0en,0.705,0.78,-6.267,0.0805,0.456,0.00152,0.115,142.028,0.457,0.9986,Happy
Magic In The Hamptons (feat. Lil Yachty),Social House,2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,-5.339,0.0385,0.66,0.0,0.0914,96.051,0.803,0.9658,Happy
Aduh,MALIQ & D'Essentials,4hqNaY8uNHrPzW4l3ulDSo,0.724,0.334,-10.136,0.233,0.749,0.000482,0.106,80.012,0.703,0.3612,Happy
Kiss You,One Direction,4My8w8AA1JpG6E5SiAPvJL,0.637,0.93,-2.632,0.0511,0.0177,0.0,0.452,90.014,0.886,0.9989,Happy
Bunga Hati,Salma Salsabil,4AfhlJghKIWkXa8sfFEXVd,0.518,0.679,-5.372,0.046,0.68,1.21e-06,0.102,93.118,0.423,0.0,Happy
Lil Boo Thang,Paul Russell,0cVyQfDyRnMJ0V3rjjdlU3,0.85,0.699,-3.292,0.0776,0.152,0.0,0.32,114.481,0.915,0.9967,Happy
Better When I'm Dancin',Meghan Trainor,5k5fWendNngd89O8JKoE8L,0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,127.987,0.873,0.9987,Happy
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,-12.095,0.0527,0.347,0.00389,0.104,112.067,0.535,0.9793,Happy
Haven't Met You Yet,Michael Bublé,4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,-4.808,0.0335,0.152,0.0,0.109,122.58,0.796,0.999,Happy
You Get What You Give,New Radicals,1Cwsd5xI8CajJz795oy4XF,0.621,0.901,-5.396,0.0302,0.17,0.0,0.0875,113.967,0.744,0.8965,Happy
Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,120.021,0.66,-0.998,Happy
Kiss Me More (feat. SZA),Doja Cat,3DarAbFujv6eYNliUTyqtz,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,110.97,0.781,0.6933,Happy
Little Talks,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,-5.177,0.032,0.0206,0.0,0.146,102.961,0.417,0.979,Happy
I Lived,OneRepublic,3IQF4xCQUPicbA4hWfTxPo,0.593,0.851,-5.456,0.0446,0.0683,0.0,0.271,119.987,0.344,0.6535,Happy
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,6kopmMZiyLmw7h66uXcXR7,0.699,0.83,-4.898,0.0633,0.00243,0.00024,0.0995,105.809,0.889,0.0,Happy
All Star,Smash Mouth,3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,104.019,0.776,0.0,Happy
(What A) Wonderful World - Mono,Sam Cooke,2G0GextMwZJLkNxcSZ7ZJ3,0.686,0.672,-5.523,0.0323,0.7,0.0,0.135,128.55,0.857,0.9844,Happy
Attracted to You,PinkPantheress,4fPjI40ElIwJQ4DJJxSCOe,0.727,0.58,-11.094,0.192,0.0372,0.00377,0.0596,114.21,0.75,0.1538,Happy
World's Smallest Violin,AJR,68EkhVWIeULhHxcbi1QhzK,0.68,0.697,-7.01,0.0484,0.121,0.0,0.661,116.033,0.684,0.032,Happy
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,124.97,0.162,-0.2528,Happy
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.583,0.159,0.264,3.35e-06,0.0904,110.962,0.779,0.9867,Happy
Sunny,Boney M.,3pf96IFggfQuT6Gafqx2rt,0.647,0.868,-6.427,0.106,0.088,0.124,0.129,121.82,0.804,0.9994,Happy
Dancing in the Moonlight,King Harvest,0q21FNwES2bbtcduB6kjEU,0.657,0.435,-15.707,0.0552,0.739,0.0,0.167,135.975,0.771,0.9964,Happy
Good Time,Owl City,1kPpge9JDLpcj15qgrPbYX,0.56,0.872,-4.269,0.14,0.0239,6.98e-06,0.371,126.05,0.682,0.9972,Happy
Mon Amour - Remix,zzoilo,5TMLavqGRKNxgzMBrVpC9R,0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,116.041,0.362,-0.9521,Happy
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,116.047,0.862,0.999,Happy
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,5qyq1H5OPMlfuvZQ1wQNo7,0.634,0.677,-7.19,0.0448,0.318,0.0,0.0902,95.792,0.939,0.9988,Happy
All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,119.93,0.331,0.9936,Happy
Could You Be Loved,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,103.312,0.76,0.9969,Happy
Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,138.559,0.772,0.9982,Happy
