name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Sign of the Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN,0.516,0.595,-4.63,0.0313,0.0275,0.0,0.109,119.972,0.222,-0.9812,Calm
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,100.418,0.515,0.9823,Calm
Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,-7.747,0.0353,0.859,0.0,0.115,120.001,0.37,-0.9825,Calm
Dancing On My Own,Calum Scott,2BOqDYLOJBiMOXShCV1neZ,0.681,0.174,-8.745,0.0315,0.837,3.35e-05,0.0983,112.672,0.231,0.9836,Calm
Talking to the Moon,Bruno Mars,161DnLWsx1i3u1JT05lzqU,0.498,0.59,-4.721,0.032,0.511,0.0,0.107,145.867,0.0784,-0.7236,Calm
When We Were Young,Adele,6O5TrlFWTYvznd9fMC0VvU,0.376,0.595,-5.936,0.0496,0.303,0.0,0.095,144.361,0.265,0.9897,Calm
Used To Be Young,Miley Cyrus,41WQUSINanQHfhfKpFDsms,0.451,0.632,-3.843,0.0475,0.6,0.0,0.139,147.06,0.455,-0.5481,Calm
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,109.891,0.446,0.9718,Calm
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,150.96,0.712,0.9992,Calm
Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,138.178,0.124,-0.9041,Calm
Budapest,George Ezra,2ixsaeFioXJmMgkkbd4uj1,0.717,0.455,-8.303,0.0276,0.0846,0.0,0.11,127.812,0.389,0.99,Calm
golden hour,JVKE,5odlY52u43F5BjByhxg7wg,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,94.467,0.153,0.9847,Calm
Strangers,Kenya Grace,5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,-8.307,0.0946,0.701,0.00274,0.219,169.982,0.416,0.9927,Calm
Supermarket Flowers,Ed Sheeran,4VuS959DSpr82t3qBqCrWG,0.589,0.242,-10.517,0.0442,0.914,0.0,0.0887,89.749,0.257,0.9952,Calm
ocean eyes,Billie Eilish,2uIX8YMNjGMD7441kqyyNU,0.475,0.37,-7.725,0.0361,0.819,0.0577,0.0841,144.828,0.157,-0.5851,Calm
