name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Run BTS,BTS,69xohKu8C1fsflYAiSNbwM,0.724,0.818,-3.747,0.168,0.0201,0.0,0.0358,77.004,0.696,0.9979,Excited
Overdrive (feat. Norma Jean Martine),Ofenbach,3bK1zVFBKIzYjmptmI4NsJ,0.611,0.757,-3.546,0.03,0.00257,0.0,0.058,126.963,0.279,0.9818,Excited
Up,Cardi B,1M4OcYkxAtu3ErzSgDEfoi,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,166.0,0.819,-0.9985,Excited
HEAVEN AND BACK,Chase Atlantic,1JdQibdvxgcrB8Rv1KFndw,0.309,0.793,-6.195,0.0774,0.0902,0.092,0.0888,193.714,0.532,0.9976,Excited
Prada,cassö,59NraMJsLaMCVtwXTSia8i,0.638,0.717,-5.804,0.0375,0.001,1.79e-06,0.113,141.904,0.422,0.9942,Excited
Dance The Night - From Barbie The Album,Dua Lipa,1vYXt7VSjH9JIM5oRRo7vA,0.671,0.845,-4.93,0.048,0.0207,0.0,0.329,110.056,0.775,0.9859,Excited
I AM WOMAN,Emmy Meli,3nOz1U41SZZ0N3fuUWr9nb,0.646,0.471,-9.247,0.157,0.122,0.0,0.125,170.084,0.455,0.9979,Excited
bye,Ariana Grande,1Rweq7vNjK4kZBbGrmxQsl,0.638,0.647,-4.834,0.028,0.217,0.0,0.156,110.003,0.51,0.9909,Excited
Candy,Doja Cat,1VJwtWR6z7SpZRwipI12be,0.689,0.516,-5.857,0.0444,0.513,0.0,0.163,124.876,0.209,0.9965,Excited
LOOK DON’T TOUCH (w/ cade clair),Odetari,7E9kejvFw8NDfuu4y3hqkp,0.684,0.701,-11.994,0.0751,0.0875,0.135,0.111,124.969,0.498,1.0,Excited
I Did Something Bad,Taylor Swift,4svZDCRz4cJoneBpjpx8DJ,0.696,0.602,-6.156,0.159,0.0679,2.11e-05,0.0696,82.989,0.305,0.999,Excited
