name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
July,Noah Cyrus,6J2LdBN97cDWn0MLxYh9HB,0.708,0.186,-8.953,0.042,0.868,0.0,0.0779,0.322,72.541
Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,-4.904,0.0581,0.131,1.8e-05,0.149,0.132,139.898
my future,Billie Eilish,2ygvZOXrIeVL4xZmAWJT2C,0.444,0.309,-10.956,0.062,0.795,0.132,0.352,0.0875,104.745
BELIEVE IT,PARTYNEXTDOOR,4HDCLYli2SUdkq9OjmvhSD,0.43,0.7,-5.35,0.264,0.0902,0.0,0.216,0.731,158.373
Level of Concern,Twenty One Pilots,6xZ4Q2k2ompmDppyeESIY8,0.754,0.583,-7.34,0.0432,0.32,0.00015,0.144,0.77,122.012
ON (Feat. Sia),BTS,3IB5qOeMayvpOdHxYCL5tZ,0.591,0.848,-4.397,0.0828,0.137,0.0,0.372,0.386,105.922
TKN (feat. Travis Scott),ROSALÍA,4w47S36wQGBhGg073q3nt7,0.776,0.509,-6.266,0.467,0.192,1.49e-06,0.115,0.485,94.634
Go Crazy,Chris Brown,1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,-8.932,0.145,0.316,0.0,0.25,0.581,94.148
Wishing Well,Juice WRLD,6o3QUC5oAE4g6WxRIFcZtb,0.65,0.613,-6.13,0.128,0.00336,0.0,0.267,0.0804,149.972
Ice Cream (with Selena Gomez),BLACKPINK,2J4P46vCFm1rPkNkp9pZWX,0.79,0.729,-3.843,0.334,0.0342,9.31e-05,0.0411,0.904,159.989
What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,-7.206,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039
Be Kind (with Halsey),Marshmello,3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,-7.088,0.0457,0.00776,0.0,0.0541,0.452,93.995
I Love Me,Demi Lovato,2IHLaN6wwYKQ3S24NsQqpA,0.664,0.561,-7.031,0.0495,0.00261,0.0,0.0764,0.713,150.093
Play Date,Melanie Martinez,4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,-5.077,0.0475,0.612,0.0,0.224,0.446,123.97
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,-4.248,0.041,0.0332,0.0,0.0876,0.753,112.985
Diamonds,Sam Smith,5hvwx5i67IwnCkjl9VHkNv,0.653,0.667,-6.764,0.0423,0.154,0.0,0.107,0.556,104.181
MAMACITA,Black Eyed Peas,14wf185UxfNbSy8dwt4r4q,0.894,0.635,-6.929,0.0473,0.193,0.00105,0.0823,0.428,105.013
Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,0.819,0.626,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01
Yo Perreo Sola,Bad Bunny,0SqqAgdovOE24BzxIClpjw,0.86,0.758,-5.16,0.0695,0.021,6.54e-05,0.344,0.453,97.014
High Fashion (feat. Mustard),Roddy Ricch,07KXEDMj78x68D884wgVEm,0.831,0.499,-8.442,0.114,0.269,0.0,0.3,0.511,97.956
Djadja (feat. Maluma) - Remix,Aya Nakamura,6AzKhCHOms83jvNVLsz0Bt,0.791,0.682,-7.328,0.158,0.175,0.0,0.0926,0.672,98.031
Old Me,5 Seconds of Summer,4POHzEwNTCYaIvqCUp3NnO,0.721,0.62,-3.639,0.0483,0.313,0.0,0.26,0.473,127.979
I’m Ready (with Demi Lovato),Sam Smith,1fipvP2zmef6vN2IwXfJhY,0.501,0.674,-6.363,0.0408,0.00346,3.56e-05,0.282,0.152,155.051
My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,-6.024,0.0296,0.018,1.29e-05,0.0887,0.383,105.046
Moral of the Story,Ashe,2nC3QhMI9reBIOWutbU3Tj,0.572,0.406,-8.624,0.0427,0.587,4.48e-06,0.102,0.265,119.812
